subject,predicate,object
http://www.wikidata.org/entity/Q1609859,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q27
http://www.wikidata.org/entity/Q1609859,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Entrance%20to%20St%20Brigids%20Well.JPG
http://www.wikidata.org/entity/Q1609859,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q1609859,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q181862
http://www.wikidata.org/entity/Q1609859,http://www.wikidata.org/prop/direct/P373,"St Brigid’s Well, Liscannor"
http://www.wikidata.org/entity/Q1609859,http://www.wikidata.org/prop/direct/P625,Point(-9.422362 52.952133)
http://www.wikidata.org/entity/Q1609859,http://www.wikidata.org/prop/direct/P2671,/g/11bc6r6n33
http://www.wikidata.org/entity/Q1609859,http://www.wikidata.org/prop/direct/P5097,104040
http://www.wikidata.org/entity/Q1609859,http://www.wikidata.org/prop/direct/P7959,http://www.wikidata.org/entity/Q181862
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q126443332
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q180231
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q60553771
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q104264478
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q345
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P217,45
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P217,KHW091
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P373,"Tobermurry, Clomantagh"
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P625,Point(-7.4730101 52.7209032)
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P708,http://www.wikidata.org/entity/Q873607
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1325,https://sketchfab.com/3d-models/clomantagh-tobermurry-02fd47554c604a6b8665eea1bc00f9fd
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q116166792
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q120966194
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126374601
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126474972
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126528008
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126540348
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q128304583
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130284129
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130308814
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P4057,KK013-006----
http://www.wikidata.org/entity/Q126448724,http://www.wikidata.org/prop/direct/P11693,8517818852
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q27
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q126443332
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q180231
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q60553832
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q1133742
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P217,48
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P217,KHW008
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P625,Point(-7.286839 52.3058113)
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P708,http://www.wikidata.org/entity/Q873607
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q120966194
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126374601
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126393245
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126456421
http://www.wikidata.org/entity/Q126449613,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126474972
http://www.wikidata.org/entity/Q29491688,http://www.wikidata.org/prop/direct/P11693,1113785861
http://www.wikidata.org/entity/Q29491688,http://www.wikidata.org/prop/direct/P12485,300013717
http://www.wikidata.org/entity/Q29491688,http://www.wikidata.org/prop/direct/P12749,Q24975
http://www.wikidata.org/entity/Q29503669,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q145
